,Num iters,weights concentration
0,1,3.108504342607919
1,51,3.245713423225883
2,101,3.2457134232258795
3,151,3.2457134232258795
4,201,3.2457134232258795
5,251,3.245713423225883
6,301,3.245713423225901
7,351,3.2457134232259044
8,401,3.2457134232259115
9,451,3.2457134232259115
10,501,3.245713423225901
11,551,3.24571342322589
12,601,3.24571342322589
13,651,3.24571342322589
14,701,3.24571342322589
15,751,3.24571342322589
16,801,3.445713423225889
17,851,3.845713423225892
18,901,5.24571342322589
19,951,7.645713423225889
20,1001,6.545713423225891
21,1051,10.54571342322589
22,1101,12.34571342322589
23,1151,11.54571342322589
24,1201,12.44571342322589
25,1251,12.04571342322589
26,1297,12.2368221054555
27,1347,12.76873598471794
28,1397,12.984758303015663
29,1447,12.607266511364912
30,1497,12.1050028828781
31,1547,12.297817643510449
32,1597,12.303631906911436
33,1647,12.224404860526649
34,1697,12.207363832468197
35,1747,12.3549954583776
36,1797,12.353492757129482
37,1847,12.363895402066298
38,1897,12.481183723489714
39,1947,12.507953855045324
40,1997,12.589408683621352
41,2047,12.587845407576504
42,2097,12.522291835873764
43,2147,12.45266537219975
44,2197,12.394611852143806
45,2247,12.367663116813436
46,2297,12.36228021678856
47,2347,12.35409833951663
48,2397,12.366624861975284
49,2447,12.33603104091418
50,2497,12.417302639907964
51,2547,12.440607274733052
52,2597,12.4203901407618
53,2647,12.64473044490278
54,2697,12.551261666605871
55,2747,12.412486928895497
56,2797,12.336583332439758
57,2847,12.323790887253818
58,2897,12.52004066257278
59,2947,12.679833101403702
60,2997,12.71886069295732
61,3047,12.77890119118308
62,3097,12.77844629538446
63,3147,12.6422067024274
64,3197,12.330452491754906
65,3247,12.154459937572993
66,3297,12.830737115825062
67,3347,12.64913311065136
68,3397,12.424834124935932
69,3447,12.211668431750796
70,3497,12.2039425034167
71,3547,12.392684404235686
72,3597,12.123883158387615
73,3647,12.16459491341175
74,3697,12.27806302638283
75,3747,12.180004935379811
76,3797,12.008640469576312
77,3847,11.929376743156338
78,3897,12.14929514109099
79,3947,11.98060571039725
80,3997,12.199716721918092
81,4047,12.330426479026444
82,4097,12.411271761934778
83,4147,12.522549335473505
84,4197,12.497408737046836
85,4247,12.341883316735196
86,4248,12.343324716625046
87,4298,12.50841070971145
88,4348,12.627861130808888
89,4398,12.57300950241696
90,4448,12.511454031858882
91,4498,12.601903466362744
92,4548,12.590741442354611
93,4598,12.631567617365626
94,4648,12.44426006166644
95,4698,12.379659334821792
96,4748,12.329935981351188
97,4798,12.499315859557614
98,4848,12.586140187911376
99,4898,12.529552734085645
100,4948,12.54285643693713
101,4998,12.52058478362578
102,5048,12.342050561097665
103,5098,12.35706231750627
104,5148,12.27910527651352
105,5198,12.292747290551112
106,5248,12.289694555081232
107,5298,12.351720316695175
108,5348,12.220878297844344
109,5398,12.168444715031244
110,5448,12.349843118290751
111,5498,12.550850669773595
112,5548,12.41083363368663
113,5598,12.4772502443183
114,5648,12.43669005951678
115,5698,12.462407967524612
116,5748,12.422648216426852
117,5798,12.366118354154455
118,5848,12.55853092490363
119,5898,12.64582934344658
120,5948,12.721390744987463
121,5998,12.769623951086942
122,6048,12.834270648644951
123,6098,12.523178703945414
124,6148,12.638037826150114
125,6198,12.64298264956407
126,6248,12.700478744548825
127,6298,12.69255440189936
128,6348,12.478988063354834
129,6398,12.62210175525444
130,6448,12.68169376578324
131,6498,12.650637869260732
132,6548,12.83515245917238
133,6598,12.937713680811456
134,6648,12.829634684219654
135,6698,12.74370657648928
136,6748,12.663234157850091
137,6798,12.78682541778366
138,6848,12.724646114254226
139,6898,12.666054939286116
140,6948,12.557000274933031
141,6998,12.590473985330377
142,7048,12.52584543347823
143,7098,12.524246497303606
144,7148,12.520929162000742
145,7198,12.68944655382751
146,7248,12.93391686055314
147,7249,12.933574151107075
148,7299,13.031800400329958
149,7349,13.074772795041838
150,7399,13.073230934037776
151,7449,13.05889048221644
152,7499,12.97773245059213
153,7549,12.970117895113608
154,7599,12.9015688104396
155,7649,12.890870561411676
156,7699,12.72470535950099
157,7749,12.82442541788225
158,7799,12.921475229380958
159,7849,13.254930318930716
160,7899,13.193787742458053
161,7949,13.140589982538984
162,7999,12.831158026500148
163,8049,12.9917547788555
164,8099,12.769392088965477
165,8149,12.717863740099553
166,8199,12.680853241759385
167,8249,12.70449022807683
168,8299,12.794220773449254
169,8349,12.912895551583164
170,8399,12.868804001832098
171,8449,12.726207400240426
172,8499,12.8071777350652
173,8549,12.716001731096751
174,8599,12.815720664485369
175,8649,12.834074505026429
176,8699,12.653366457028474
177,8749,12.583884812757836
178,8799,12.656114335679865
179,8849,12.671550241709124
180,8899,12.733982938165468
181,8949,12.941432120957908
182,8999,13.055541833478348
183,9049,13.063241533995376
184,9099,12.804812382168937
185,9149,12.609413899882012
186,9199,12.57576980493213
187,9249,13.002738613614335
188,9299,12.81144944442353
189,9349,12.755743884827249
190,9399,12.693954850009304
191,9449,12.980438426799664
192,9499,12.982423455948249
193,9549,12.90979491822814
194,9599,12.91569757409791
195,9649,12.937701359592138
196,9699,12.868715441526987
197,9749,12.939371096866282
198,9799,13.0168804162952
199,9849,12.951849226238757
200,9899,12.799886257160724
201,9949,12.877187532882024
202,9999,12.939955404990856
203,10049,10.885310187961238
204,10099,10.793099055403689
205,10149,10.717642150912738
206,10199,10.745944735624628
207,10249,10.30740841643872
208,10250,10.508206423499669
209,10300,10.449409130012867
210,10350,10.294831157817308
211,10400,10.338606562982852
212,10450,10.279909093736704
213,10500,10.17804204549854
214,10550,10.035269631974291
215,10600,9.27956129703194
216,10650,9.249665743111946
217,10700,9.254894916283956
218,10750,9.245201433307672
219,10800,9.167544619280005
220,10850,9.236161553187198
221,10900,9.104105082112516
222,10950,9.13104671697196
223,11000,9.185210964535807
224,11050,9.09555280618351
225,11100,9.235948991620663
226,11150,9.32941696203589
227,11200,9.406146375714796
228,11250,9.31794509638919
229,11300,9.28210862648976
230,11350,9.469087502293709
231,11400,9.480634956274056
232,11450,9.492811682842165
233,11500,9.468071475042088
234,11550,9.49745508935943
235,11600,9.546773356348504
236,11650,9.57791629246486
237,11700,9.609759435124348
238,11750,9.592047834607706
239,11800,9.664294841961112
240,11850,9.55869519532672
241,11900,9.4913829824457
242,11950,9.526064240987836
243,12000,9.56828471561491
244,12050,9.56876055200477
245,12100,9.553446323027472
246,12150,9.529765855369163
247,12200,9.461994191416355
248,12250,9.412627832022832
249,12300,9.45795253296325
250,12350,9.380371662149756
251,12400,9.28493825399216
252,12450,9.309859246928935
253,12500,9.14671761553416
254,12550,9.053351717557414
255,12600,8.968380297628073
256,12650,9.175169879792984
257,12700,9.119463549934553
258,12750,9.157498784970414
259,12800,9.226334674380787
260,12850,9.395030808828054
261,12900,9.224167789211393
262,12950,9.310262401108146
263,13000,9.443312674064074
264,13050,9.521933037986052
265,13100,9.458755054923508
266,13150,9.521899995338956
267,13200,9.265628244545711
268,13250,9.40990207344014
269,13251,9.407765363461651
270,13301,9.48928682862384
271,13351,9.599789720397569
272,13401,9.406807641665154
273,13451,9.206333033823595
274,13501,9.171827705184157
275,13551,9.1204171688988
276,13601,9.780766556156294
277,13651,9.84707448134189
278,13701,9.866039814977189
279,13751,9.76580408276652
280,13801,9.660934115171896
281,13851,9.65754251115379
282,13901,9.659341327860984
283,13951,9.59902139715653
284,14001,9.54276028380351
285,14051,9.478332936802923
286,14101,9.487869155974987
287,14151,9.487916384818073
